Borough,Category,Year,# Total Cohort,# Grads,% Grads,# Dropout,% Dropout
Queens,Multi-Racial,2015,269,238,88.5,10,3.7
Queens,Multi-Racial,2014,225,215,95.6,3,1.3
Queens,Multi-Racial,2013,197,185,93.9,11,5.6
Queens,Multi-Racial,2012,139,122,87.8,10,7.2
Queens,Native American,2019,337,288,85.5,12,3.6
Queens,Native American,2018,379,333,87.9,19,5.0
Queens,Native American,2017,391,333,85.2,21,5.4
Queens,Native American,2016,295,238,80.7,29,9.8
Queens,Native American,2015,317,244,77.0,32,10.1
Queens,Native American,2014,338,253,74.9,22,6.5
Queens,Native American,2013,228,139,61.0,26,11.4
Queens,Native American,2012,178,108,60.7,29,16.3
Queens,Native American,2019,337,276,81.9,12,3.6
Queens,Native American,2018,379,326,86.0,19,5.0
Queens,Native American,2017,391,320,81.8,21,5.4
Queens,Native American,2016,295,234,79.3,29,9.8
Queens,Native American,2015,317,233,73.5,32,10.1
Queens,Native American,2014,338,245,72.5,22,6.5
Queens,Native American,2013,228,131,57.5,26,11.4
Queens,Native American,2012,178,104,58.4,29,16.3
Queens,Native American,2018,378,341,90.2,22,5.8
Queens,Native American,2017,392,339,86.5,35,8.9
Queens,Native American,2016,295,242,82.0,34,11.5
Queens,Native American,2015,321,258,80.4,41,12.8
Queens,Native American,2014,334,270,80.8,30,9.0
Queens,Native American,2013,228,154,67.5,40,17.5
Queens,Native American,2012,183,115,62.8,40,21.9
Queens,Native American,2018,378,341,90.2,22,5.8
Queens,Native American,2017,392,338,86.2,35,8.9
Queens,Native American,2016,295,242,82.0,34,11.5
Queens,Native American,2015,321,258,80.4,41,12.8
Queens,Native American,2014,334,269,80.5,30,9.0
Queens,Native American,2013,228,151,66.2,40,17.5
Queens,Native American,2012,183,114,62.3,40,21.9
Queens,Native American,2017,389,341,87.7,37,9.5
Queens,Native American,2016,295,242,82.0,35,11.9
Queens,Native American,2015,320,262,81.9,39,12.2
Queens,Native American,2014,335,275,82.1,34,10.1
Queens,Native American,2013,229,157,68.6,44,19.2
Queens,Native American,2012,182,120,65.9,44,24.2
Queens,White,2019,2054,1815,88.4,55,2.7
Queens,White,2018,2154,1895,88.0,60,2.8
Queens,White,2017,2437,2153,88.3,63,2.6
Queens,White,2016,2319,2014,86.8,71,3.1
Queens,White,2015,2472,2081,84.2,99,4.0
Queens,White,2014,2527,2136,84.5,100,4.0
Queens,White,2013,2364,1980,83.8,98,4.1
Queens,White,2012,2316,1898,82.0,117,5.1
Queens,White,2019,2054,1781,86.7,55,2.7
Queens,White,2018,2154,1850,85.9,60,2.8
Queens,White,2017,2437,2091,85.8,63,2.6
Queens,White,2016,2319,1985,85.6,74,3.2
Queens,White,2015,2472,2007,81.2,99,4.0
Queens,White,2014,2527,2077,82.2,100,4.0
Queens,White,2013,2364,1918,81.1,98,4.1
Queens,White,2012,2316,1850,79.9,117,5.1
Queens,White,2018,2144,1919,89.5,87,4.1
Queens,White,2017,2383,2150,90.2,93,3.9
Queens,White,2016,2314,2057,88.9,101,4.4
Queens,White,2015,2479,2154,86.9,134,5.4
Queens,White,2014,2528,2188,86.6,160,6.3
Queens,White,2013,2371,2012,84.9,121,5.1
Queens,White,2012,2326,1961,84.3,162,7.0
Queens,White,2018,2144,1913,89.2,90,4.2
Queens,White,2017,2383,2143,89.9,96,4.0
Queens,White,2016,2314,2054,88.8,101,4.4
Queens,White,2015,2479,2144,86.5,136,5.5
Queens,White,2014,2528,2178,86.2,163,6.4
Queens,White,2013,2371,2006,84.6,121,5.1
Queens,White,2012,2326,1956,84.1,162,7.0
Queens,White,2017,2377,2155,90.7,94,4.0
Queens,White,2016,2308,2063,89.4,116,5.0
Queens,White,2015,2474,2174,87.9,136,5.5
Queens,White,2014,2523,2214,87.8,159,6.3
Queens,White,2013,2372,2033,85.7,150,6.3
Queens,White,2012,2324,1971,84.8,171,7.4
Staten Island,Asian,2019,605,568,93.9,8,1.3
Staten Island,Asian,2018,621,588,94.7,12,1.9
Staten Island,Asian,2017,585,553,94.5,9,1.5
Staten Island,Asian,2016,577,550,95.3,10,1.7
Staten Island,Asian,2015,477,451,94.5,6,1.3
Staten Island,Asian,2014,506,477,94.3,9,1.8
Staten Island,Asian,2013,463,432,93.3,3,0.6
Staten Island,Asian,2012,459,422,91.9,9,2.0
Staten Island,Asian,2019,605,563,93.1,8,1.3
Staten Island,Asian,2018,621,582,93.7,12,1.9
Staten Island,Asian,2017,585,540,92.3,9,1.5
Staten Island,Asian,2016,577,547,94.8,10,1.7
Staten Island,Asian,2015,477,450,94.3,6,1.3
Staten Island,Asian,2014,506,472,93.3,9,1.8
Staten Island,Asian,2013,463,424,91.6,3,0.6
Staten Island,Asian,2012,459,417,90.8,9,2.0
Staten Island,Asian,2018,623,598,96.0,13,2.1
Staten Island,Asian,2017,585,563,96.2,13,2.2
Staten Island,Asian,2016,576,555,96.4,10,1.7
Staten Island,Asian,2015,476,456,95.8,8,1.7
Staten Island,Asian,2014,507,485,95.7,10,2.0
Staten Island,Asian,2013,463,440,95.0,6,1.3
Staten Island,Asian,2012,457,433,94.7,14,3.1
Staten Island,Asian,2018,623,596,95.7,13,2.1
Staten Island,Asian,2017,585,562,96.1,13,2.2
Staten Island,Asian,2016,576,554,96.2,11,1.9
Staten Island,Asian,2015,476,456,95.8,8,1.7
Staten Island,Asian,2014,507,483,95.3,11,2.2
Staten Island,Asian,2013,463,437,94.4,6,1.3
Staten Island,Asian,2012,457,432,94.5,14,3.1
Staten Island,Asian,2017,585,564,96.4,14,2.4
Staten Island,Asian,2016,576,556,96.5,11,1.9
Staten Island,Asian,2015,477,459,96.2,10,2.1
Staten Island,Asian,2014,506,485,95.8,11,2.2
Staten Island,Asian,2013,463,443,95.7,6,1.3
Staten Island,Asian,2012,454,434,95.6,12,2.6
Staten Island,Black,2019,591,456,77.2,52,8.8
Staten Island,Black,2018,643,479,74.5,49,7.6
Staten Island,Black,2017,620,449,72.4,44,7.1
Staten Island,Black,2016,655,450,68.7,54,8.2
Staten Island,Black,2015,640,462,72.2,54,8.4
Staten Island,Black,2014,689,447,64.9,78,11.3
Staten Island,Black,2013,678,445,65.6,81,11.9
Staten Island,Black,2012,702,476,67.8,72,10.3
