Borough,Year,Category,Number Tested,Mean Scale Score
MANHATTAN,2024,Not SWD,4654,467
MANHATTAN,2024,SWD,1278,444
MANHATTAN,2024,Not SWD,4164,467
MANHATTAN,2024,SWD,1235,440
MANHATTAN,2024,Not SWD,4533,463
MANHATTAN,2024,SWD,1288,439
MANHATTAN,2024,Not SWD,4749,469
MANHATTAN,2024,SWD,1251,445
MANHATTAN,2024,Not SWD,1509,455
MANHATTAN,2024,SWD,577,432
MANHATTAN,2024,Not SWD,24299,465
MANHATTAN,2024,SWD,6911,441
MANHATTAN,2023,Not SWD,4667,463
MANHATTAN,2023,SWD,1240,443
MANHATTAN,2023,Not SWD,4680,464
MANHATTAN,2023,SWD,1248,440
MANHATTAN,2023,Not SWD,4628,463
MANHATTAN,2023,SWD,1317,438
MANHATTAN,2023,Not SWD,4722,461
MANHATTAN,2023,SWD,1272,436
MANHATTAN,2023,Not SWD,4828,464
MANHATTAN,2023,SWD,1367,440
MANHATTAN,2023,Not SWD,1718,452
MANHATTAN,2023,SWD,635,430
MANHATTAN,2023,Not SWD,25243,462
MANHATTAN,2023,SWD,7079,438
MANHATTAN,2022,Not SWD,4539,606
MANHATTAN,2022,SWD,1219,587
MANHATTAN,2022,Not SWD,4439,606
MANHATTAN,2022,SWD,1303,582
MANHATTAN,2022,Not SWD,4665,606
MANHATTAN,2022,SWD,1322,585
MANHATTAN,2022,Not SWD,4645,605
MANHATTAN,2022,SWD,1331,585
MANHATTAN,2022,Not SWD,4711,606
MANHATTAN,2022,SWD,1374,587
MANHATTAN,2022,Not SWD,1801,600
MANHATTAN,2022,SWD,659,580
MANHATTAN,2022,Not SWD,24800,605
MANHATTAN,2022,SWD,7208,585
MANHATTAN,2019,Not SWD,6153,609
MANHATTAN,2019,SWD,1705,590
MANHATTAN,2019,Not SWD,6174,609
MANHATTAN,2019,SWD,1814,590
MANHATTAN,2019,Not SWD,5984,608
MANHATTAN,2019,SWD,1680,587
MANHATTAN,2019,Not SWD,6096,609
MANHATTAN,2019,SWD,1633,588
MANHATTAN,2019,Not SWD,6089,610
MANHATTAN,2019,SWD,1644,589
MANHATTAN,2019,Not SWD,3308,605
MANHATTAN,2019,SWD,1177,588
MANHATTAN,2019,Not SWD,33804,609
MANHATTAN,2019,SWD,9653,589
MANHATTAN,2018,Not SWD,6341,607
MANHATTAN,2018,SWD,1760,590
MANHATTAN,2018,Not SWD,6355,607
MANHATTAN,2018,SWD,1741,587
MANHATTAN,2018,Not SWD,6216,609
MANHATTAN,2018,SWD,1760,587
MANHATTAN,2018,Not SWD,6073,607
MANHATTAN,2018,SWD,1719,585
MANHATTAN,2018,Not SWD,6046,608
MANHATTAN,2018,SWD,1757,586
MANHATTAN,2018,Not SWD,3966,605
MANHATTAN,2018,SWD,1390,587
MANHATTAN,2018,Not SWD,34997,607
MANHATTAN,2018,SWD,10127,587
QUEENS,2024,Not SWD,13502,457
QUEENS,2024,SWD,2995,438
QUEENS,2024,Not SWD,14044,465
QUEENS,2024,SWD,3047,440
QUEENS,2024,Not SWD,12803,460
QUEENS,2024,SWD,3005,438
QUEENS,2024,Not SWD,14801,458
QUEENS,2024,SWD,3128,435
QUEENS,2024,Not SWD,14618,465
QUEENS,2024,SWD,2929,440
QUEENS,2024,Not SWD,5464,451
QUEENS,2024,SWD,1804,431
QUEENS,2024,Not SWD,75232,460
QUEENS,2024,SWD,16908,437
QUEENS,2023,Not SWD,13807,460
QUEENS,2023,SWD,2768,441
QUEENS,2023,Not SWD,13967,459
QUEENS,2023,SWD,2980,441
QUEENS,2023,Not SWD,14162,459
QUEENS,2023,SWD,3117,438
QUEENS,2023,Not SWD,14337,457
QUEENS,2023,SWD,3030,433
QUEENS,2023,Not SWD,14514,460
QUEENS,2023,SWD,2987,436
QUEENS,2023,Not SWD,6464,448
QUEENS,2023,SWD,1862,431
QUEENS,2023,Not SWD,77251,458
QUEENS,2023,SWD,16744,437
QUEENS,2022,Not SWD,13794,602
QUEENS,2022,SWD,2902,588
QUEENS,2022,Not SWD,13984,602
QUEENS,2022,SWD,3112,585
QUEENS,2022,Not SWD,13846,602
QUEENS,2022,SWD,3024,584
QUEENS,2022,Not SWD,14160,601
QUEENS,2022,SWD,3108,582
QUEENS,2022,Not SWD,14602,604
QUEENS,2022,SWD,3041,583
QUEENS,2022,Not SWD,7038,600
QUEENS,2022,SWD,2030,584
QUEENS,2022,Not SWD,77424,602
QUEENS,2022,SWD,17217,584
QUEENS,2019,Not SWD,16274,605
QUEENS,2019,SWD,3632,590
QUEENS,2019,Not SWD,16693,607
QUEENS,2019,SWD,3680,589
QUEENS,2019,Not SWD,16885,608
QUEENS,2019,SWD,3709,588
QUEENS,2019,Not SWD,17303,606
QUEENS,2019,SWD,3650,585
QUEENS,2019,Not SWD,16683,608
QUEENS,2019,SWD,3484,586
QUEENS,2019,Not SWD,10100,606
QUEENS,2019,SWD,2468,587
QUEENS,2019,Not SWD,93938,607
QUEENS,2019,SWD,20623,588
QUEENS,2018,Not SWD,16914,605
QUEENS,2018,SWD,3599,589
QUEENS,2018,Not SWD,17102,606
QUEENS,2018,SWD,3788,588
QUEENS,2018,Not SWD,17524,606
QUEENS,2018,SWD,3742,587
QUEENS,2018,Not SWD,16820,605
QUEENS,2018,SWD,3649,584
QUEENS,2018,Not SWD,16697,606
QUEENS,2018,SWD,3471,585
QUEENS,2018,Not SWD,9804,607
QUEENS,2018,SWD,2461,587
QUEENS,2018,Not SWD,94861,606
QUEENS,2018,SWD,20710,587
STATEN ISLAND,2024,Not SWD,2767,463
STATEN ISLAND,2024,SWD,1015,442
STATEN ISLAND,2024,Not SWD,2876,471
STATEN ISLAND,2024,SWD,1041,445
STATEN ISLAND,2024,Not SWD,2763,463
STATEN ISLAND,2024,SWD,1050,439
STATEN ISLAND,2024,Not SWD,2914,462
STATEN ISLAND,2024,SWD,868,436
STATEN ISLAND,2024,Not SWD,2976,471
STATEN ISLAND,2024,SWD,808,444
STATEN ISLAND,2024,Not SWD,1794,461
STATEN ISLAND,2024,SWD,684,434
STATEN ISLAND,2024,Not SWD,16090,466
STATEN ISLAND,2024,SWD,5466,440
STATEN ISLAND,2023,Not SWD,2839,463
STATEN ISLAND,2023,SWD,1024,442
STATEN ISLAND,2023,Not SWD,2781,461
STATEN ISLAND,2023,SWD,1037,440
STATEN ISLAND,2023,Not SWD,3099,462
STATEN ISLAND,2023,SWD,973,440
STATEN ISLAND,2023,Not SWD,2891,459
STATEN ISLAND,2023,SWD,839,434
STATEN ISLAND,2023,Not SWD,2802,466
STATEN ISLAND,2023,SWD,825,437
STATEN ISLAND,2023,Not SWD,1816,459
STATEN ISLAND,2023,SWD,647,436
STATEN ISLAND,2023,Not SWD,16228,462
STATEN ISLAND,2023,SWD,5345,438
STATEN ISLAND,2022,Not SWD,2770,603
STATEN ISLAND,2022,SWD,1071,587
STATEN ISLAND,2022,Not SWD,3052,603
STATEN ISLAND,2022,SWD,1045,584
STATEN ISLAND,2022,Not SWD,3085,604
STATEN ISLAND,2022,SWD,1050,584
STATEN ISLAND,2022,Not SWD,2723,603
STATEN ISLAND,2022,SWD,885,582
STATEN ISLAND,2022,Not SWD,2914,606
STATEN ISLAND,2022,SWD,856,585
STATEN ISLAND,2022,Not SWD,1515,603
STATEN ISLAND,2022,SWD,633,584
STATEN ISLAND,2022,Not SWD,16059,604
STATEN ISLAND,2022,SWD,5540,584
STATEN ISLAND,2019,Not SWD,3170,606
STATEN ISLAND,2019,SWD,1264,590
STATEN ISLAND,2019,Not SWD,3240,608
STATEN ISLAND,2019,SWD,1196,588
STATEN ISLAND,2019,Not SWD,3298,607
STATEN ISLAND,2019,SWD,1193,588
STATEN ISLAND,2019,Not SWD,3079,607
STATEN ISLAND,2019,SWD,1173,585
STATEN ISLAND,2019,Not SWD,3188,608
STATEN ISLAND,2019,SWD,1027,584
STATEN ISLAND,2019,Not SWD,2460,610
STATEN ISLAND,2019,SWD,803,588
STATEN ISLAND,2019,Not SWD,18435,607
STATEN ISLAND,2019,SWD,6656,587
STATEN ISLAND,2018,Not SWD,3256,606
STATEN ISLAND,2018,SWD,1193,589
STATEN ISLAND,2018,Not SWD,3325,606
STATEN ISLAND,2018,SWD,1221,587
STATEN ISLAND,2018,Not SWD,3277,606
STATEN ISLAND,2018,SWD,1264,587
STATEN ISLAND,2018,Not SWD,3132,606
STATEN ISLAND,2018,SWD,1067,584
STATEN ISLAND,2018,Not SWD,3030,607
STATEN ISLAND,2018,SWD,1020,585
STATEN ISLAND,2018,Not SWD,2580,609
STATEN ISLAND,2018,SWD,880,588
STATEN ISLAND,2018,Not SWD,18600,606
STATEN ISLAND,2018,SWD,6645,587
