Borough,Grade,Year,Category,Number Tested,Mean Scale Score
BRONX,3,2024,Asian,602,458
BRONX,3,2024,Black,2025,443
BRONX,3,2024,Hispanic,6649,442
BRONX,3,2024,Multi-Racial,93,455
BRONX,3,2024,Native American,104,441
BRONX,3,2024,White,468,456
BRONX,4,2024,Asian,555,463
BRONX,4,2024,Black,2233,443
BRONX,4,2024,Hispanic,6865,443
BRONX,4,2024,Multi-Racial,73,458
BRONX,4,2024,Native American,97,444
BRONX,4,2024,White,459,459
BRONX,5,2024,Asian,551,461
BRONX,5,2024,Black,2379,440
BRONX,5,2024,Hispanic,6752,441
BRONX,5,2024,Multi-Racial,87,454
BRONX,5,2024,Native American,118,446
BRONX,5,2024,White,448,457
BRONX,6,2024,Asian,551,463
BRONX,6,2024,Black,2266,439
BRONX,6,2024,Hispanic,7108,439
BRONX,6,2024,Multi-Racial,65,449
BRONX,6,2024,Native American,105,444
BRONX,6,2024,White,485,455
BRONX,7,2024,Asian,536,473
BRONX,7,2024,Black,2427,445
BRONX,7,2024,Hispanic,7084,446
BRONX,7,2024,Multi-Racial,59,457
BRONX,7,2024,Native American,141,447
BRONX,7,2024,White,400,458
BRONX,8,2024,Asian,321,456
BRONX,8,2024,Black,1733,438
BRONX,8,2024,Hispanic,5456,441
BRONX,8,2024,Multi-Racial,15,449
BRONX,8,2024,Native American,61,438
BRONX,8,2024,White,295,453
BRONX,All Grades,2024,Asian,3116,462
BRONX,All Grades,2024,Black,13063,441
BRONX,All Grades,2024,Hispanic,39914,442
BRONX,All Grades,2024,Multi-Racial,392,454
BRONX,All Grades,2024,Native American,626,444
BRONX,All Grades,2024,White,2555,456
BRONX,3,2023,Asian,565,458
BRONX,3,2023,Black,2257,441
BRONX,3,2023,Hispanic,6742,441
BRONX,3,2023,Multi-Racial,67,449
BRONX,3,2023,Native American,98,444
BRONX,3,2023,White,482,455
BRONX,4,2023,Asian,592,458
BRONX,4,2023,Black,2443,439
BRONX,4,2023,Hispanic,7281,438
BRONX,4,2023,Multi-Racial,83,454
BRONX,4,2023,Native American,113,449
BRONX,4,2023,White,514,456
BRONX,5,2023,Asian,581,460
BRONX,5,2023,Black,2535,438
BRONX,5,2023,Hispanic,7592,439
BRONX,5,2023,Multi-Racial,66,454
BRONX,5,2023,Native American,107,444
BRONX,5,2023,White,509,455
BRONX,6,2023,Asian,539,463
BRONX,6,2023,Black,2429,436
BRONX,6,2023,Hispanic,7114,438
BRONX,6,2023,Multi-Racial,59,449
BRONX,6,2023,Native American,133,441
BRONX,6,2023,White,443,450
BRONX,7,2023,Asian,558,463
BRONX,7,2023,Black,2622,440
BRONX,7,2023,Hispanic,7465,442
BRONX,7,2023,Multi-Racial,31,447
BRONX,7,2023,Native American,82,445
BRONX,7,2023,White,486,456
BRONX,8,2023,Asian,373,460
BRONX,8,2023,Black,1942,437
BRONX,8,2023,Hispanic,5886,439
BRONX,8,2023,Multi-Racial,28,445
BRONX,8,2023,Native American,76,445
BRONX,8,2023,White,350,448
BRONX,All Grades,2023,Asian,3208,460
BRONX,All Grades,2023,Black,14228,439
BRONX,All Grades,2023,Hispanic,42080,440
BRONX,All Grades,2023,Multi-Racial,334,451
BRONX,All Grades,2023,Native American,609,445
BRONX,All Grades,2023,White,2784,454
BRONX,3,2022,Asian,603,600
BRONX,3,2022,Black,2418,586
BRONX,3,2022,Hispanic,7144,586
BRONX,3,2022,Multi-Racial,83,596
BRONX,3,2022,Native American,117,591
BRONX,3,2022,White,509,597
BRONX,4,2022,Asian,607,599
BRONX,4,2022,Black,2530,583
BRONX,4,2022,Hispanic,7583,583
BRONX,4,2022,Multi-Racial,67,595
